BehaviorSpace results (NetLogo 6.0.4),,,,,
vultures_user.nlogo,,,,,
experiment,,,,,
08/22/2018 11:03:27:195 -0700,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,
-100,100,-100,100,,
[run number],[step],avg-t2e,avg-t2d,(tic-int-count) * 100 / (tic-max),tar-count
7,20000,61.23588753,515.1216431,0,20
8,20000,56.96112442,1139.598467,0,20
1,20000,74.87626266,1497.022247,0,20
4,20000,61.68136597,692.2176208,0,17
5,20000,60.70947266,1022.640381,0,17
6,20000,65.58598876,805.5409927,0,24
3,20000,61.24509811,1756.019321,0,20
2,20000,68.99466515,707.7288895,0,21
10,20000,54.27386475,999.9320068,0,18
9,20000,56.3253808,1100.048922,0,22
11,20000,100.2193832,1017.198586,0,18
12,20000,169.3686513,245.220643,0,25
13,20000,59.26072121,1636.313354,0,20
15,20000,244.9998627,278.2757416,0,19
14,20000,94.3683815,665.220459,0,19
16,20000,55.45741272,1101.72113,0,17
21,20000,291.7768121,255.1714163,0,24
17,20000,56.78121948,1198.568817,0,18
18,20000,52.31491089,925.8873901,0,16
19,20000,165.1432514,406.8984947,0,20
20,20000,71.73112488,1033.741745,0,17
22,20000,241.3533497,270.171608,0,21
23,20000,56.6722427,669.1186341,0,25
24,20000,57.56208515,675.3097954,0,23
25,20000,282.3452303,1648.06803,0,23
30,20000,55.89780426,599.3583069,0,19
26,20000,59.44383907,1059.530783,0,21
27,20000,62.89970016,1298.681198,0,19
29,20000,52.97234917,426.4864941,0,21
28,20000,56.29077148,745.793457,0,13
31,20000,64.03869629,1643.080688,0,14
32,20000,56.3248024,1507.709072,0,20
33,20000,56.34494019,899.8193359,0,16
36,20000,67.40145302,1638.255615,0,21
35,20000,62.25969315,1530.113972,0,20
34,20000,57.40702057,741.4233551,0,19
37,20000,55.7840457,764.6385612,0,23
38,20000,61.38754272,1441.2948,0,16
39,20000,61.7199707,596.373291,0,13
40,20000,54.18931818,618.7823181,0,22
41,20000,58.90747786,1440.34268,0,22
44,20000,56.83933147,563.0083057,0,30
42,20000,52.31920433,533.8034806,0,25
43,20000,52.57744062,354.6910916,0,26
45,20000,60.24865675,762.1888108,0,23
46,20000,52.13293457,673.8582764,0,14
48,20000,120.3655389,812.2176698,0,28
47,20000,53.64995575,873.5040359,0,19
49,20000,234.653656,745.0360107,0,20
53,20000,165.9329071,1188.629333,0,17
50,20000,56.95132387,877.6403799,0,24
51,20000,55.46744943,1195.124731,0,23
52,20000,60.52746964,758.6175842,0,19
55,20000,70.81627178,763.0573616,0,21
54,20000,51.50227213,538.4998512,0,22
56,20000,61.69928741,1403.66304,0,18
57,20000,155.7274032,623.9914217,0,22
58,20000,68.05428505,985.0214195,0,21
61,20000,274.5900395,481.8436266,0,24
59,20000,76.64498901,523.0812683,0,18
60,20000,57.19161987,959.9223022,0,17
62,20000,56.186239,789.9325752,0,23
63,20000,56.28549194,325.1534729,0,16
64,20000,59.49487877,2013.689858,0,21
65,20000,119.4345703,717.6159668,0,17
66,20000,54.32775211,438.1368957,0,22
67,20000,62.06604767,638.5374146,0,18
68,20000,61.20147228,721.8913727,0,22
69,20000,55.13476563,683.770813,0,15
70,20000,62.05155563,542.2637329,0,19
72,20000,72.73523211,937.1005576,0,25
71,20000,54.22523117,582.1683578,0,20
73,20000,58.01231384,1290.471436,0,18
74,20000,53.49648666,612.6724205,0,23
75,20000,59.56640625,1304.428009,0,17
76,20000,85.92773438,1712.396484,0,11
77,20000,51.58664131,351.4528732,0,23
78,20000,56.46585083,575.5153198,0,17
80,20000,56.13077325,556.493902,0,26
79,20000,66.08409095,1591.236927,0,23
81,20000,56.31387329,568.786911,0,17
82,20000,63.41110444,1418.023148,0,24
83,20000,62.98486328,1579.671875,0,14
85,20000,177.4871216,1125.326477,0,15
84,20000,51.28282928,261.4252625,0,19
86,20000,56.86340332,1043.371399,0,16
88,20000,55.17818832,803.0350094,0,23
87,20000,62.49178314,1056.974449,0,18
89,20000,231.4368286,393.8999634,0,17
90,20000,176.9520392,289.9643841,0,23
91,20000,68.56085968,813.1420441,0,18
93,20000,185.2532711,795.0604858,0,21
92,20000,57.34107971,1020.299255,0,17
94,20000,59.13092041,876.3374557,0,19
96,20000,61.05694675,764.4087095,0,22
95,20000,159.6021423,663.4319687,0,19
97,20000,142.0868976,614.7842655,0,23
98,20000,59.38742065,952.9510117,0,19
99,20000,62.77385712,1279.824585,0,18
100,20000,62.32823181,1868.365852,0,20
